decimalLatitude,decimalLongitude
-24.66859,-56.726402
-23.576815,-46.841537
-33.06558,-58.391045
-31.871435,-58.211575
-25.58102,-48.64984
-22.478354,-44.45652
-22.784565,-45.680645
-34.608204,-58.35397
-34.372135,-58.755398
-23.584732,-46.635635
-23.00781,-43.325096
-23.178535,-45.951218
-23.43104,-46.6422
-23.669456,-46.544487
-26.497166,-64.87876
-22.308846,-44.93465
-7.11915,-34.87132
-22.405317,-47.5476
-25.55,-54.570858
-24.113894,-65.484695
-25.771107,-56.226574
-14.762908,-64.96066
-22.85534,-46.970627
-16.562252,-49.281918
-23.58537,-46.645832
-23.512354,-46.66539
-21.414139,-49.771534
-23.76304,-45.9216
-34.369583,-58.579617
-21.575504,-44.525646
-23.211466,-46.765278
-24.014256,-46.275658
-27.526274,-56.53046
-13.887517,-38.94394
-22.384207,-46.943672
-22.953732,-43.175404
-16.70574,-43.92047
-22.90918,-43.16534
-22.452831,-42.772556
-25.336462,-57.51374
-22.713224,-47.63122
-23.231565,-45.893227
-27.404503,-55.92862
-25.658,-56.908
-33.49833,-58.74765
-25.55,-54.570858
-28.129734,-59.07431
-12.985782,-38.5214
-22.049465,-63.718864
-25.370651,-57.63253
-23.584255,-46.648933
-27.61649,-51.512608
-25.273167,-57.65
-22.944445,-45.673054
-17.94836,-63.160572
-23.071678,-45.933582
-19.150488,-40.06817
-28.697155,-49.46518
-25.555126,-54.52135
-16.3876,-39.16976
-23.581587,-46.658844
-23.535603,-46.67741
-7.125936,-34.880486
-26.637764,-55.663948
-22.756199,-47.353226
-22.344406,-49.02994
-24.36598,-47.01229
-13.734687,-46.35792
-25.6004,-54.56865
-22.301287,-44.94069
-26.48759,-49.073437
-34.492,-58.479168
-22.599771,-43.031155
-23.86398,-46.13773
-25.53992,-54.576824
-25.55,-54.570858
-24.364729,-47.023087
-16.50443,-56.6752
-26.588129,-49.328094
-14.633311,-39.069023
-17.788705,-63.180206
-26.637842,-55.664017
-15.65836,-56.12743
-23.556904,-46.557426
-22.543903,-47.902225
-22.280933,-42.53296
-24.00961,-47.157444
-10.641945,-38.699547
-23.519882,-46.18811
-27.33484,-58.966053
-19.841717,-43.34544
-15.802973,-47.801987
-16.50443,-56.6752
-23.576815,-46.841537
-30.052137,-51.17816
-24.539627,-58.029785
-23.413355,-46.791187
-23.576815,-46.841537
-23.606546,-46.73787
-23.712715,-46.55688
-25.208643,-57.717964
-23.499128,-46.332317
-34.85935,-56.200127
-25.55,-54.570858
-15.444001,-55.824665
-21.877724,-48.259674
-24.046385,-47.39214
-22.847181,-45.682777
-21.141747,-48.45124
-15.854785,-48.956253
-24.306793,-64.404655
-15.848236,-47.83759
-22.027948,-45.83758
-24.017942,-46.292305
-29.703655,-53.498234
-21.240278,-48.340973
-16.74843,-56.85778
-23.430075,-45.086987
-25.375181,-49.224907
-23.482533,-46.872017
-23.522676,-45.884914
-16.157742,-63.75968
-22.659224,-45.854992
-22.89857,-43.10836
-17.781994,-63.0968
-23.523272,-46.52878
-34.608204,-58.35397
-22.310295,-42.49676
-27.182262,-51.51776
-15.975801,-47.6688
-25.598759,-48.38804
-20.095621,-55.964844
-23.576815,-46.841537
-22.96914,-46.725574
-22.948578,-46.974483
-25.3001,-57.55809
-25.55,-54.570858
-22.709366,-45.054684
-23.392263,-46.53385
-23.11272,-47.186123
-23.48725,-46.58725
-23.743284,-46.391693
-27.49357,-51.363308
-25.55,-54.570858
-30.917952,-62.67514
-24.169859,-65.48923
-25.515411,-54.585056
-34.183743,-58.24996
-21.244444,-48.295834
-34.608204,-58.35397
-26.415215,-54.616512
-23.878134,-48.0015
-22.97779,-42.032948
-24.372055,-47.01618
-17.360352,-56.76681
-23.835281,-46.16505
-30.230827,-57.5102
-19.82724,-43.371292
-23.419672,-51.236835
-22.7405,-47.579914
-22.131186,-65.4633
-23.607727,-46.846634
-34.608204,-58.35397
-31.61092,-60.680996
-25.600147,-54.56202
-25.55,-54.570858
-25.857317,-54.168785
-27.359377,-55.91089
-23.964716,-47.512363
-22.142504,-54.651382
-25.613928,-54.482567
-22.393581,-47.544205
-25.631508,-54.456966
-15.681261,-47.84834
-22.953732,-43.175404
-25.264574,-57.54518
-34.624107,-58.52011
-24.014256,-46.275658
-16.50814,-44.026566
-21.56579,-48.826782
-23.071678,-45.933582
-21.243645,-48.544697
-23.693829,-64.86781
-15.191745,-64.720215
-19.53969,-42.470306
-22.470009,-45.4051
-21.529099,-46.643616
-23.576815,-46.841537
-32.149235,-53.750637
-22.306263,-44.97442
-25.932,-58.2185
-20.75921,-42.872623
-24.67234,-65.418945
-23.722208,-50.996784
-15.630116,-56.12838
-29.87471,-51.25841
-23.882486,-46.42212
-22.393581,-47.544205
-23.002184,-48.012463
-7.216669,-48.25437
-27.740778,-57.25221
-23.985893,-46.384846
-16.709383,-43.941566
-27.5,-64.85
-25.328432,-57.507824
-22.048359,-42.671585
-26.458033,-52.56628
-22.4136,-42.589252
-34.625847,-58.50821
-25.0719,-58.141
-23.592716,-46.663414
-24.731709,-65.50242
-22.393581,-47.544205
-25.552273,-54.519566
-20.232765,-56.374714
-27.293089,-65.85197
-16.562252,-49.281918
-22.938774,-47.027035
-25.721324,-49.616899
-25.471853,-49.321236
-27.74424,-55.565456
-31.854013,-60.54151
-22.96264,-48.412735
-25.55,-54.570858
-22.39869,-47.54449
-23.540558,-46.563618
-23.08621,-47.212063
-25.857317,-54.168785
-23.117311,-46.84626
-14.14214,-47.521534
-22.880394,-46.96397
-22.338198,-64.49157
-22.58271,-43.047653
-25.468794,-48.845413
-24.301786,-65.339966
-23.612421,-46.651424
-24.376163,-47.02327
-17.778358,-63.124725
-25.55,-54.570858
-23.163624,-45.826153
-22.948578,-46.974483
-28.832874,-49.2405
-24.183086,-46.94444
-21.720129,-43.925114
-16.29849,-47.82211
-23.645178,-46.558105
-23.683764,-46.6775
-22.759136,-46.688797
-26.897427,-59.007473
-22.386673,-44.946648
-22.96264,-48.412735
-33.989822,-58.909824
-25.55,-54.570858
-27.43052,-58.949802
-25.61655,-54.592964
-22.438553,-44.60821
-21.05472,-44.27767
-20.667446,-43.797386
-23.533266,-46.707565
-25.36205,-49.260918
-28.07857,-48.628407
-23.610083,-46.653137
-26.632334,-54.102165
-26.8036,-65.317894
-23.584932,-45.8244
-34.608204,-58.35397
-25.887724,-56.82565
-25.455801,-56.849724
-29.939543,-51.17337
-22.83374,-47.021954
-23.512354,-46.66539
-28.011377,-58.05725
-23.58383,-46.64673
-23.86398,-46.13773
-25.55,-54.570858
-22.37742,-45.259827
-23.469725,-45.169296
-15.631438,-56.126453
-27.43052,-58.949802
-23.606546,-46.73787
-15.65548,-47.858814
-23.545143,-46.558296
-23.174726,-45.846996
-15.579328,-56.104946
-20.581173,-41.7602
-23.601736,-46.803753
-34.53852,-58.443703
-25.8573,-53.975986
-19.952642,-56.30441
-23.574192,-46.740795
-12.950939,-38.387638
-25.515411,-54.585056
-22.405365,-47.524666
-34.608204,-58.35397
-25.534042,-49.02293
-26.472208,-49.133316
-25.55,-54.570858
-16.564848,-49.284492
-21.237965,-44.98651
-17.657845,-63.142548
-25.287565,-57.559856
-23.386946,-46.259987
-23.576815,-46.841537
-22.442822,-44.600163
-23.583303,-46.644905
-23.491941,-46.522892
-22.405317,-47.5476
-23.711418,-64.53648
-3.937834,-38.82784
-22.948578,-46.974483
-34.141483,-53.70217
-22.412777,-47.55472
-30.042639,-51.185345
-23.58383,-46.64673
-22.67137,-46.673294
-25.683304,-54.455452
-30.087929,-51.24391
-25.45918,-49.229084
-22.963243,-46.526463
-24.431198,-65.29036
-27.379114,-55.890987
-3.735985,-38.536934
-26.4329,-49.2411
-25.668633,-54.569897
-30.05793,-51.169323
-23.845658,-45.403143
-22.86008,-47.04368
-23.300877,-44.877647
-23.612091,-46.866684
-19.880892,-43.92145
